a_water,avg_irrad,avg_rad,b,fd_flag,flux,na,ns,num_scatters
0.1,4.798656418402584,0.4671536404441785,0.01,True,2178.025146484375,8,72,0
0.1,4.736474500908736,4.736474500908736,0.01,False,2104.41650390625,8,72,0
0.1,4.736311740352847,4.736311740352847,0.01,False,2096.937744140625,8,72,1
0.1,4.736228175002887,4.736228175002887,0.01,False,2096.964599609375,8,72,2
0.1,4.736231913955314,4.736231913955314,0.01,False,2096.96435546875,8,72,3
0.1,4.764857905627577,0.4788400981136529,0.01,True,2166.443603515625,10,72,0
0.1,4.736474500908736,4.736474500908736,0.01,False,2104.41650390625,10,72,0
0.1,4.736311740352847,4.736311740352847,0.01,False,2096.937744140625,10,72,1
0.1,4.736228175002887,4.736228175002887,0.01,False,2096.964599609375,10,72,2
0.1,4.736231913955314,4.736231913955314,0.01,False,2096.96435546875,10,72,3
0.1,4.568119450144192,0.46186685482340706,0.017449698104440144,True,1697.52392578125,10,8,0
0.1,4.736474500908736,4.736474500908736,0.017449698104440144,False,2104.41650390625,10,8,0
0.1,4.736190488652379,4.736190488652379,0.017449698104440144,False,2091.366455078125,10,8,1
0.1,4.735936038877124,4.735936038877124,0.017449698104440144,False,2091.447998046875,10,8,2
0.1,4.735955905026295,4.735955905026295,0.017449698104440144,False,2091.447265625,10,8,3
0.1,4.717910912406278,0.47793966047421427,0.017449698104440144,True,1847.142578125,10,16,0
0.1,4.736474500908736,4.736474500908736,0.017449698104440144,False,2104.41650390625,10,16,0
0.1,4.736190488652379,4.736190488652379,0.017449698104440144,False,2091.366455078125,10,16,1
0.1,4.735936038877124,4.735936038877124,0.017449698104440144,False,2091.447998046875,10,16,2
0.1,4.735955905026295,4.735955905026295,0.017449698104440144,False,2091.447265625,10,16,3
0.1,4.786831865020108,0.48036975573973023,0.017449698104440144,True,2125.699951171875,10,32,0
0.1,4.736474500908736,4.736474500908736,0.017449698104440144,False,2104.41650390625,10,32,0
0.1,4.736190488652379,4.736190488652379,0.017449698104440144,False,2091.366455078125,10,32,1
0.1,4.735936038877124,4.735936038877124,0.017449698104440144,False,2091.447998046875,10,32,2
0.1,4.735955905026295,4.735955905026295,0.017449698104440144,False,2091.447265625,10,32,3
0.1,4.771988056266609,0.47858770699467634,0.017449698104440144,True,2157.12939453125,10,48,0
0.1,4.736474500908736,4.736474500908736,0.017449698104440144,False,2104.41650390625,10,48,0
0.1,4.736190488652379,4.736190488652379,0.017449698104440144,False,2091.366455078125,10,48,1
0.1,4.735936038877124,4.735936038877124,0.017449698104440144,False,2091.447998046875,10,48,2
0.1,4.735955905026295,4.735955905026295,0.017449698104440144,False,2091.447265625,10,48,3
0.1,4.766068883745967,0.4778901125097455,0.017449698104440144,True,2161.412353515625,10,64,0
0.1,4.736474500908736,4.736474500908736,0.017449698104440144,False,2104.41650390625,10,64,0
0.1,4.736190488652379,4.736190488652379,0.017449698104440144,False,2091.366455078125,10,64,1
0.1,4.735936038877124,4.735936038877124,0.017449698104440144,False,2091.447998046875,10,64,2
0.1,4.735955905026295,4.735955905026295,0.017449698104440144,False,2091.447265625,10,64,3
0.1,5.018265850815074,0.45663383951269376,0.017449698104440144,True,2289.32080078125,4,72,0
0.1,4.736474500908736,4.736474500908736,0.017449698104440144,False,2104.41650390625,4,72,0
0.1,4.736190488652379,4.736190488652379,0.017449698104440144,False,2091.366455078125,4,72,1
0.1,4.735936038877124,4.735936038877124,0.017449698104440144,False,2091.447998046875,4,72,2
0.1,4.735955905026295,4.735955905026295,0.017449698104440144,False,2091.447265625,4,72,3
0.1,4.870757857651044,0.45330795640425964,0.017449698104440144,True,2201.37890625,6,72,0
0.1,4.736474500908736,4.736474500908736,0.017449698104440144,False,2104.41650390625,6,72,0
0.1,4.736190488652379,4.736190488652379,0.017449698104440144,False,2091.366455078125,6,72,1
0.1,4.735936038877124,4.735936038877124,0.017449698104440144,False,2091.447998046875,6,72,2
0.1,4.735955905026295,4.735955905026295,0.017449698104440144,False,2091.447265625,6,72,3
0.1,4.79792679667213,0.4661636561142103,0.017449698104440144,True,2172.680419921875,8,72,0
0.1,4.736474500908736,4.736474500908736,0.017449698104440144,False,2104.41650390625,8,72,0
0.1,4.736190488652379,4.736190488652379,0.017449698104440144,False,2091.366455078125,8,72,1
0.1,4.735936038877124,4.735936038877124,0.017449698104440144,False,2091.447998046875,8,72,2
0.1,4.735955905026295,4.735955905026295,0.017449698104440144,False,2091.447265625,8,72,3
0.1,4.764819995433295,0.47773659442827154,0.017449698104440144,True,2161.162109375,10,72,0
0.1,4.736474500908736,4.736474500908736,0.017449698104440144,False,2104.41650390625,10,72,0
0.1,4.736190488652379,4.736190488652379,0.017449698104440144,False,2091.366455078125,10,72,1
0.1,4.735936038877124,4.735936038877124,0.017449698104440144,False,2091.447998046875,10,72,2
0.1,4.735955905026295,4.735955905026295,0.017449698104440144,False,2091.447265625,10,72,3
0.1,4.573170478561009,0.46028482355215183,0.030449196393610194,True,1693.78369140625,10,8,0
0.1,4.736474500908736,4.736474500908736,0.030449196393610194,False,2104.41650390625,10,8,0
0.1,4.735978908095596,4.735978908095596,0.030449196393610194,False,2081.644287109375,10,8,1
0.1,4.7352041289776885,4.7352041289776885,0.030449196393610194,False,2081.892578125,10,8,2
0.1,4.735309683645973,4.735309683645973,0.030449196393610194,False,2081.88916015625,10,8,3
0.1,4.715084105584273,0.475544945185636,0.030449196393610194,True,1838.7490234375,10,16,0
0.1,4.736474500908736,4.736474500908736,0.030449196393610194,False,2104.41650390625,10,16,0
0.1,4.735978908095596,4.735978908095596,0.030449196393610194,False,2081.644287109375,10,16,1
0.1,4.7352041289776885,4.7352041289776885,0.030449196393610194,False,2081.892578125,10,16,2
0.1,4.735309683645973,4.735309683645973,0.030449196393610194,False,2081.88916015625,10,16,3
0.1,4.78661894387574,0.47845806067125146,0.030449196393610194,True,2116.601806640625,10,32,0
0.1,4.736474500908736,4.736474500908736,0.030449196393610194,False,2104.41650390625,10,32,0
